canon_p_smi,experimental_Tg,normalized_monomer_phi,normalized_backbone_phi
*CC(*)c1ccc(Cl)cc1C,418,0.278434532746745,0.16875
*OC(=O)Oc1ccc(C(C)(C)c2ccc(*)cc2)cc1Cl,419,0.22122911096865758,0.22122911096865758
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,419,0.19391749049576942,0.19391749049576942
*OC(=O)Oc1ccc(C(C)(C)c2ccc(*)cc2Cl)c(Cl)c1,419,0.2326028440961611,0.2326028440961611
*OC(=O)Oc1ccc(Cc2ccc(*)cc2)cc1,420,0.22337458871236204,0.22337458871236204
*Oc1ccc(C(*)=O)cc1,420,0.21006642989379573,0.21006642989379573
*OC(=O)Oc1ccc(C(CCC)(CCC)c2ccc(*)cc2)cc1,421,0.2703173265576516,0.17267359524597747
*OC(=O)Oc1ccc(C(c2ccc(*)cc2)C(C)C)cc1,422,0.2409181168131401,0.20145625324708688
*CC(*)n1c2ccccc2c2ccccc21,423,0.1424854258517864,0.10885624242424227
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,423,0.20902593108723588,0.20902593108723588
*CC(*)c1ccc2ccccc2c1,424,0.18478715968291815,0.140625
*C(F)(F)C(*)(F)C(F)(F)F,425,0.21657591445444935,0.1498179593533572
*OC(=O)Oc1ccc(C(=C(Cl)Cl)c2ccc(*)cc2)cc1,430,0.25404358852650477,0.19159103506747685
*CC(*)c1cccc2ccccc12,432,0.18478715968291815,0.140625
*CC(*)c1ccccc1CO,433,0.2873070458427128,0.16875
*CC(*)(C#N)C(=O)OC,433,0.305667138366455,0.163265306122449
*OC(=O)Oc1ccc(C2(c3ccc(*)cc3)CCCC2)cc1,440,0.19290751712169815,0.18911869955511817
*OC(=O)c1ccc(C(=O)Oc2ccc(C(C)(C)c3ccc(*)c(C)c3)cc2C)cc1,444,0.2057171577923605,0.2057171577923605
*OC(=O)Oc1ccc(C2(c3ccc(*)cc3)CCCCC2)cc1,444,0.20670383329149128,0.18052239502988554
*OC(=O)Oc1ccc(C(C)(c2ccccc2)c2ccc(*)cc2)cc1,449,0.19743588621713615,0.1654788621107284
*OC(=O)Oc1ccc(C(c2ccc(*)cc2)(C(F)(F)F)C(F)(F)F)cc1,449,0.20491535932133215,0.15885970762629928
*OC(=O)Oc1ccc(C(c2ccc(*)cc2)(C(F)(F)Cl)C(F)(F)Cl)cc1,457,0.22575888394083962,0.15885970762629928
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,458,0.19279976689067133,0.19279976689067133
*OC(=O)Oc1c(Cl)cc(C(C)(C)c2ccc(*)cc2)cc1Cl,459,0.2326028440961611,0.2326028440961611
*C(F)(F)C(*)(F)c1c(F)c(F)c(F)c(F)c1F,467,0.19253792795843794,0.08427260213626343
*OC(=O)Oc1cc(C)c(C(C)(C)c2c(C)cc(*)cc2C)c(C)c1,473,0.21461802937342303,0.21461802937342303
*c1cccc(C(=O)c2cccc(N3C(=O)c4ccc(Oc5ccc(Sc6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5)cc4C3=O)c2)c1,473,0.15979994020394708,0.15979994020394708
*C(F)(F)C(*)(F)c1ccccc1,475,0.18985630905934087,0.12257833038001954
*OC(=O)c1ccc(C(=O)Oc2ccc(C(C)(C)c3ccc(*)cc3)cc2)cc1,478,0.20321740421116632,0.20321740421116632
*Oc1c(C)cc(*)cc1C,482,0.20551573986043106,0.20551573986043106
*Oc1ccc(Sc2ccc(Oc3ccc4c(c3)C(=O)N(c3cccc(N5C(=O)c6ccc(*)cc6C5=O)c3)C4=O)cc2)cc1,482,0.15494511593466362,0.15494511593466362
*c1ccc(C(=O)c2ccccc2N2C(=O)c3ccc(Oc4ccc(Sc5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5)cc4)cc3C2=O)cc1,485,0.15979994020394708,0.15979994020394708
*c1ccc(C(=O)c2cccc(N3C(=O)c4ccc(Oc5ccc(Sc6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5)cc4C3=O)c2)cc1,486,0.15979994020394708,0.15979994020394708
*Oc1c(-c2ccccc2)cc(*)cc1-c1ccccc1,493,0.17961395348878959,0.09734956098651998
*Oc1ccc(C(C)(C)c2ccc(Oc3ccc4c(c3)C(=O)N(c3cccc(N5C(=O)c6ccc(*)cc6C5=O)c3)C4=O)cc2)cc1,493,0.14971488679601297,0.14971488679601297
*Oc1ccc(-c2ccc(Oc3ccc(S(=O)(=O)c4ccc(*)cc4)cc3)cc2)cc1,493,0.18809058728714562,0.18809058728714562
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(S(=O)(=O)c4ccc(*)cc4)cc3)cc2)cc1,493,0.19174398381930527,0.19174398381930527
*c1ccc(C(=O)c2ccc(N3C(=O)c4ccc(Oc5ccc(Sc6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5)cc4C3=O)cc2)cc1,494,0.15979994020394708,0.15979994020394708
*Oc1cccc(Oc2cccc(-n3c(=O)c4cc5c(=O)n(-c6cccc(*)c6)c(=O)c5cc4c3=O)c2)c1,494,0.14008900727873308,0.14008900727873308
*Oc1ccc(Oc2ccc(Oc3ccc4c(c3)C(=O)N(c3cccc(N5C(=O)c6ccc(*)cc6C5=O)c3)C4=O)cc2)cc1,500,0.14765986719355093,0.14765986719355093
*OC(=O)Oc1c(Cl)cc(C(C)(C)c2cc(Cl)c(*)c(Cl)c2)cc1Cl,503,0.25314035921270933,0.25314035921270933
*OC(=O)Oc1ccc(C2(c3ccc(*)cc3)CC3CCC2C3)cc1,505,0.16301867644114398,0.17267359524597747
*Oc1ccc(C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N(c3cccc(N5C(=O)c6ccc(*)cc6C5=O)c3)C4=O)cc2)cc1,512,0.1478504511569564,0.1478504511569564
*c1cccc(C(=O)c2cccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)c1,513,0.14094796802456258,0.14094796802456258
*OC(=O)Oc1ccc(C2(c3ccc(*)cc3)CC3CC2C2CCCC32)cc1,520,0.1525980154295525,0.15274971887144162
*Oc1ccc(-c2ccc(Oc3ccc4c(c3)C(=O)N(c3cccc(N5C(=O)c6ccc(*)cc6C5=O)c3)C4=O)cc2)cc1,520,0.14407132052012045,0.14407132052012045
*OC(=O)Oc1c(Br)cc(C(C)(C)c2cc(Br)c(*)c(Br)c2)cc1Br,523,0.280462738431123,0.280462738431123
*c1cccc(C(=O)c2cccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c2)c1,533,0.14973562303813484,0.12424363843041504
*c1ccc(Oc2ccc(-c3cc(-c4ccccc4)c4cc(Oc5ccc6nc(*)cc(-c7ccccc7)c6c5)ccc4n3)cc2)cc1,539,0.15869613896320425,0.12430376055141387
*c1cccc(-c2cc(-c3ccc(Oc4ccc(-c5cc(*)nc6ccccc56)cc4)cc3)c3ccccc3n2)c1,541,0.15301384890071926,0.15301384890071926
*c1ccc(-c2nnc(-c3cccc(-c4nnc(*)n4-c4ccccc4)c3)n2-c2ccccc2)cc1,543,0.15223089737936532,0.10585023818518484
*Nc1cccc(NC(=O)c2cccc(C(*)=O)c2)c1,545,0.209983321370795,0.209983321370795
*c1cccc(-c2nc3ccccc3c(-c3ccc(Oc4ccc(-c5c(-c6ccccc6)c(*)nc6ccccc56)cc4)cc3)c2-c2ccccc2)c1,546,0.15701832763497112,0.12602612567516416
*NC(=O)c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(*)cc3)cc1)C2=O,550,0.16392070215740165,0.16392070215740165
*c1ccc(C(=O)c2cccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c2)cc1,561,0.14973562303813484,0.12424363843041504
*c1ccc(C(=O)c2ccccc2N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(*)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1,562,0.14973562303813484,0.12424363843041504
*c1ccc(-c2cc(-c3ccccc3)c3cc(Oc4ccc5nc(*)cc(-c6ccccc6)c5c4)ccc3n2)cc1,573,0.15301384890071926,0.11260010027535158
*c1ccc(Oc2ccc(-c3nc4ccc(Oc5ccc6nc(*)c(-c7ccccc7)c(-c7ccccc7)c6c5)cc4c(-c4ccccc4)c3-c3ccccc3)cc2)cc1,578,0.1611405667061379,0.10659932674178844
*c1ccc(-c2ccc(-c3ccc(-c4cnc5ccc(-c6ccc7ncc(*)nc7c6)cc5n4)cc3)cc2)cc1,578,0.14697260448684973,0.14697260448684973
